shape, chamfer_dist, color_dist
MEAN, 0.0012218344957188128, 62.14571145833333
3D-FUTURE-model/chair/19f47b83-3a3e-4f63-b9c3-a421468dbd7f, 0.0007729821186483663, 36.31203333333333
3D-FUTURE-model/chair/2a17cf5f-ec24-4ee6-87fa-a504712a45f6, 0.001110610517505837, 24.151
3D-FUTURE-model/chair/bd736985-025a-4d60-865f-d8cab731280b, 0.0010265386750339341, 42.51636666666667
3D-FUTURE-model/chair/00a91a81-fc73-4625-8298-06ecd55b6aaa, 0.0012329021693883273, 27.0117
3D-FUTURE-model/chair/d72b7ee3-e39b-42e7-b796-e7ec9d23fbd7, 0.0008862489568105287, 140.77363333333332
3D-FUTURE-model/chair/5949665c-499d-413e-ba9c-b8595ee700e5, 0.0007077358976709318, 59.344633333333334
3D-FUTURE-model/chair/0bca869d-b715-4795-b911-9de38f642f22, 0.00197220184630814, 75.83363333333332
3D-FUTURE-model/chair/01839053-f5e1-4165-b492-85836be84194, 0.0015954900427999161, 75.44073333333333
3D-FUTURE-model/chair/4b600aed-51ed-445c-8c08-283ea0d5b53a, 0.0008418500286009341, 63.63343333333333
3D-FUTURE-model/chair/65b5062b-666a-3c3c-a465-bb43291d0e66, 0.003493636927232289, 47.009766666666664
3D-FUTURE-model/chair/5b767119-7fa8-48b0-a646-28af049330fc, 0.0010051394768052571, 30.644066666666667
3D-FUTURE-model/chair/44b8dd59-8e5c-4fb3-a3ca-dba9b7419cd2, 0.0008096350548890135, 217.4634
3D-FUTURE-model/chair/18992c9e-25a6-301d-8be8-95b7494e010f, 0.0007442635584841001, 57.33303333333333
3D-FUTURE-model/chair/26d454a6-308d-3c4f-a871-df9e29e70d63, 0.0008533332655252606, 68.79236666666668
3D-FUTURE-model/chair/932caad9-022d-4a6d-a5e9-32145b16833d, 0.0011234473923685613, 39.815266666666666
3D-FUTURE-model/chair/202be378-8e97-471d-9041-8f24d8c3df00, 0.0004868517951570582, 35.24946666666666
3D-FUTURE-model/chair/147fb31a-fcf2-4b58-8c0a-6ff888abff04, 0.0008354600188092089, 88.7555
3D-FUTURE-model/chair/5c743f3d-6647-4f2b-9ecf-561b119cc104, 0.000798519418733112, 75.97813333333333
3D-FUTURE-model/chair/77dcc4f8-98ae-43aa-994b-c1874f9a00b7, 0.0005613495030190848, 44.633766666666666
3D-FUTURE-model/chair/f7b9d8f5-1458-4a0d-a753-0a2a4f377e31, 0.0007563584982086586, 36.09603333333334
3D-FUTURE-model/chair/18b5b81f-7860-449f-87fb-5552e3a96fb9, 0.0031301511348558195, 44.35673333333333
3D-FUTURE-model/chair/b98f48d1-9b8b-430a-b803-c24d87a77386, 0.001131339347305534, 83.49233333333333
3D-FUTURE-model/chair/5ec8be8f-f953-40e1-9a1e-9710b83c176c, 0.004292361334090437, 99.40803333333334
3D-FUTURE-model/chair/5157b498-3cdf-4513-bd97-237358b1979e, 0.0009276505529063719, 46.21886666666667
3D-FUTURE-model/chair/b3b7e415-b77b-4dc5-8bdf-7673a00f2b0d, 0.0010426823496312624, 32.934
3D-FUTURE-model/chair/da47801b-a9c7-4370-92b5-2c13bdfd6c42, 0.0012854049738039047, 134.41446666666667
3D-FUTURE-model/chair/57580a13-bef0-44fd-b611-863ea4a3aad8, 0.001105060614113901, 59.60646666666666
3D-FUTURE-model/chair/fad585b9-df56-4b87-8a82-5130d5273c9b, 0.0005736046192757786, 23.3634
3D-FUTURE-model/chair/99e35a9e-b125-4334-949e-5845f987a53f, 0.0012118941864037037, 26.32496666666667
3D-FUTURE-model/chair/c744f59f-6133-4131-a131-88209820de61, 0.0007653148608600891, 49.14576666666667
3D-FUTURE-model/chair/0cd722cb-4cf5-4026-9906-187e51d78c67, 0.0007194693449289213, 42.71713333333334
3D-FUTURE-model/chair/ecf6d756-e5f7-4e54-86ff-5595f77ccb01, 0.0012992153828277641, 59.892633333333336
